Label,SMS
ham,Tối nay mình có hẹn với bác sĩ. Bạn đón con giúp mình nhé!
spam,Chương trình tặng xe máy Honda Vision cho 10 khách hàng may mắn. Chi tiết: moto-gift-fake.com
ham,Chị ơi, em gửi file báo cáo rồi. Chị kiểm tra giúp em nhé!
spam,HOT! Cơ hội đầu tư sinh lời 100%/năm. LH: 0901234567 để được tư vấn.
ham,Bố mẹ khỏe không? Con đã đến nơi an toàn rồi ạ!
spam,Thông báo: SIM của bạn sẽ bị khóa trong 24h nếu không cập nhật thông tin. Chi tiết: sim-lock-fake.com
ham,Anh ơi, tối nay em về muộn. Anh nhớ cho con ăn tối nhé!
spam,Chúc mừng! Bạn đã trúng 100 triệu trong chương trình khuyến mãi. LH: 1900xxxx
ham,Bạn có thể gửi lại link họp Zoom được không? Mình không tìm thấy.
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị khóa. Xác minh tại: bank-secure-fake.com
ham,Chị ơi, mai em có thể nộp báo cáo trễ một ngày được không?
spam,HOT! Cơ hội mua nhà giá rẻ chỉ 500tr/căn. LH: 0987654321
ham,Mình đã đặt bàn ở nhà hàng ABC lúc 7h tối nay. Bạn nhớ đến đúng giờ nhé!
spam,Thông báo: Bạn còn nợ tiền điện 2.000.000đ. Thanh toán ngay để tránh bị cắt điện.
ham,Anh ơi, em quên mang theo chìa khóa. Em sẽ đợi anh ở công ty.
spam,Cơ hội việc làm thu nhập 40-80tr/tháng. Ứng tuyển: job-fake.com
ham,Chị ơi, em đã hoàn thành công việc rồi. Chị kiểm tra giúp em nhé!
spam,KHẨN CẤP: Tài khoản Zalo của bạn đang gặp vấn đề bảo mật. Xác minh: zalo-secure-fake.com
ham,Tối nay có buổi liên hoan công ty lúc 6h. Bạn tham gia nhé!
spam,Chúc mừng! Bạn đã trúng vé du lịch Châu Âu trị giá 50 triệu. Liên hệ: tour-winner-fake.com
ham,Em ơi, anh sẽ đến đón em lúc 5h chiều nhé!
spam,Thông báo từ ngân hàng: Thẻ của bạn đã bị khóa. Mở khóa tại: card-unlock-fake.com
ham,Chị ơi, em có thể gửi lại file hợp đồng được không? Em cần gấp.
spam,HOT! Cơ hội đầu tư tiền ảo sinh lời 200%/tháng. Chi tiết: crypto-invest-fake.com
ham,Nhớ mang theo hồ sơ khi đi phỏng vấn nhé!
spam,Bạn đã trúng thưởng 30 triệu đồng! Gọi ngay 1900xxxx để nhận giải.
ham,Chiều nay có họp phụ huynh lúc 5h. Bạn nhớ sắp xếp thời gian nhé!
spam,Cảnh báo: Tài khoản mobile banking của bạn có nguy cơ bị khóa. Xác minh: mbank-secure-fake.com
ham,Anh ơi, em đã đặt vé xem phim lúc 8h tối nay rồi nhé!
spam,Thông báo: SIM của bạn sẽ bị khóa 2 chiều trong 12h nữa. Liên hệ 19001235 để được hỗ trợ.
ham,Mẹ ơi, con sẽ về nhà vào cuối tuần này!
spam,HOT! Giảm giá sốc 80% tất cả sản phẩm. Mua ngay: sale-hot-fake.com
ham,Bạn có thể giúp mình giải bài tập này được không?
spam,Chúc mừng! Số điện thoại của bạn đã trúng 10 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx
ham,Tối nay ăn gì vậy? Mình ghé siêu thị mua đồ nhé!
spam,Cảnh báo: Tài khoản ngân hàng của bạn có giao dịch lạ. Kiểm tra: bank-check-fake.com
ham,Anh/chị ơi, em có thể nộp báo cáo vào ngày mai được không?
spam,Cơ hội đầu tư BĐS sinh lời 200%. Chỉ còn 5 lô cuối. LH: 0901234567
ham,Chúc mừng sinh nhật! Tối nay cả nhóm sẽ đến nhà bạn lúc 7h nhé.
spam,KHẨN: Tài khoản di động của bạn sắp bị khóa. Xác minh ngay: mobile-verify-fake.com
ham,Nhớ mang theo ô khi ra ngoài, trời đang mưa to lắm!
spam,Bạn đã trúng thưởng 20 triệu từ chương trình khuyến mãi. LH: 090xxxxxxx để nhận giải.
ham,Mai học môn gì vậy? Cho mình mượn tài liệu với.
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị đóng. Xác minh tại: bank-verify-fake.com
ham,Chị ơi, em đã hoàn thành công việc rồi. Chị kiểm tra giúp em nhé!
spam,HOT! Cơ hội việc làm thu nhập 50-100tr/tháng. Ứng tuyển: job-high-fake.com
ham,Tối nay mình có hẹn với bác sĩ. Bạn đón con giúp mình nhé!
spam,Chúc mừng! Bạn đã trúng 100 triệu trong chương trình khuyến mãi. LH: 1900xxxx
ham,Bạn có thể gửi lại link họp Zoom được không? Mình không tìm thấy.
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị khóa. Xác minh tại: bank-secure-fake.com
ham,Mình đã đặt bàn ở nhà hàng ABC lúc 7h tối nay. Bạn nhớ đến đúng giờ nhé!
spam,Thông báo: Bạn còn nợ tiền điện 2.000.000đ. Thanh toán ngay để tránh bị cắt điện.
ham,Chị ơi, em quên mang theo chìa khóa. Em sẽ đợi chị ở công ty.
spam,Cơ hội việc làm thu nhập
